x,y
1.005670386,0.03347463953
1.161503342,0.02959173673
1.333098409,0.02558652835
1.521952476,0.02138521576
1.718280786,0.01733395749
1.922052951,0.01386900978
2.138700979,0.01088417346
2.366350799,0.008463632902
2.595793393,0.006541567366
2.850239206,0.005001915649
3.112997111,0.003820342261
3.402414151,0.002929283219
3.710896605,0.002232286845
4.029637969,0.001688672592
4.373393487,0.001281022678
4.711534185,0.0009663036864
5.036619634,0.0007174563017
5.373861805,0.000534019134
5.693767474,0.0003928607454
6.003754422,0.0002899391212
6.315522358,0.0002132933291
6.613662353,0.0001554988827
6.891327109,0.0001133408235
7.156329255,8.299810597e-05
7.404677346,6.020080141e-05
7.639053708,4.370415495e-05
7.859883306,3.174381291e-05
8.084658213,2.304213556e-05
8.291237822,1.67026004e-05
8.506622537,1.204846771e-05
