point_index,x,y
187,7.7207392197,0.8743771570
188,7.7618069815,0.8757486631
189,7.8028747433,0.8760115103
190,7.8439425051,0.8764344262
191,7.8850102669,0.8764344262
192,7.9260780287,0.8768911007
193,7.9671457906,0.8778507715
194,8.0082135524,0.8786598404
195,8.0492813142,0.8796470370
196,8.0903490760,0.8798298402
197,8.1314168378,0.8793032787
198,8.1724845996,0.8798948102
199,8.2135523614,0.8799467170
200,8.2546201232,0.8809530932
201,8.2956878850,0.8817777723
202,8.3367556468,0.8821721311
203,8.3778234086,0.8821721311
204,8.4188911704,0.8821721311
205,8.4599589322,0.8826191112
206,8.5010266940,0.8833183315
207,8.5420944559,0.8842517360
208,8.5831622177,0.8847256939
209,8.6242299795,0.8850409836
210,8.6652977413,0.8850409836
211,8.7063655031,0.8852621997
212,8.7474332649,0.8856844219
213,8.7885010267,0.8858525669
214,8.8295687885,0.8869422062
215,8.8706365503,0.8876308416
216,8.9117043121,0.8879098361
217,8.9527720739,0.8879098361
218,8.9938398357,0.8879098361
219,9.0349075975,0.8879098361
220,9.0759753593,0.8886170344
221,9.1170431211,0.8899782975
222,9.1581108830,0.8901352502
223,9.1991786448,0.8906687656
224,9.2402464066,0.8907786885
225,9.2813141684,0.8907786885
226,9.3223819302,0.8908595772
227,9.3634496920,0.8914221268
228,9.4045174538,0.8914326405
229,9.4455852156,0.8921023750
230,9.4866529774,0.8929777343
231,9.5277207392,0.8933864810
232,9.5687885010,0.8936475410
233,9.6098562628,0.8936475410
234,9.6509240246,0.8936475410
235,9.6919917864,0.8942390725
236,9.7330595483,0.8942909793
237,9.7741273101,0.8945311960
238,9.8151950719,0.8958729552
239,9.8562628337,0.8958729552
240,9.8973305955,0.8965163934
241,9.9383983573,0.8965163934
242,9.9794661191,0.8965163934
243,10.0205338809,0.8966388777
244,10.0616016427,0.8971598317
245,10.1026694045,0.8971598317
246,10.1437371663,0.8976121357
247,10.1848049281,0.8986780476
248,10.2258726899,0.8987418076
249,10.2669404517,0.8987937144
250,10.3080082136,0.8993852459
251,10.3490759754,0.8993852459
252,10.3901437372,0.8993852459
253,10.4312114990,0.8993852459
254,10.4722792608,0.8999665265
255,10.5133470226,0.9000550526
256,10.5544147844,0.9007776377
257,10.5954825462,0.9013042756
258,10.6365503080,0.9016106601
259,10.6776180698,0.9021020245
260,10.7186858316,0.9022540984
261,10.7597535934,0.9022540984
262,10.8008213552,0.9022540984
263,10.8418891170,0.9022540984
264,10.8829568789,0.9023976777
265,10.9240246407,0.9028975366
266,10.9650924025,0.9029930452
267,11.0061601643,0.9036334206
268,11.0472279261,0.9044531441
269,11.0882956879,0.9044795125
270,11.1293634497,0.9048439563
271,11.1704312115,0.9051229508
272,11.2114989733,0.9051229508
273,11.2525667351,0.9051229508
274,11.2936344969,0.9051229508
275,11.3347022587,0.9056787910
276,11.3757700205,0.9057663891
277,11.4168377823,0.9057663891
278,11.4579055441,0.9058626495
279,11.4989733060,0.9068200185
280,11.5400410678,0.9073483650
281,11.5811088296,0.9073483650
282,11.6221765914,0.9075832091
283,11.6632443532,0.9079918033
284,11.7043121150,0.9079918033
285,11.7453798768,0.9079918033
286,11.7864476386,0.9079918033
287,11.8275154004,0.9084291283
288,11.8685831622,0.9086352416
289,11.9096509240,0.9086352416
290,11.9507186858,0.9087340619
