point_index,x,y
0,0.0410677618,0.5768045661
1,0.0821355236,0.5813015523
2,0.1232032854,0.5863129198
3,0.1642710472,0.5947828746
4,0.2053388090,0.6044264934
5,0.2464065708,0.6143908716
6,0.2874743326,0.6237459016
7,0.3285420945,0.6340421077
8,0.3696098563,0.6340421077
9,0.4106776181,0.6515273821
10,0.4517453799,0.6608963949
11,0.4928131417,0.6692628351
12,0.5338809035,0.6773746024
13,0.5749486653,0.6864677520
14,0.6160164271,0.6936194350
15,0.6570841889,0.7012094084
16,0.6981519507,0.7090439467
17,0.7392197125,0.7158430644
18,0.7802874743,0.7228322902
19,0.8213552361,0.7303264155
20,0.8624229979,0.7366108006
21,0.9034907598,0.7432690589
22,0.9445585216,0.7499355141
23,0.9856262834,0.7556963565
24,1.0266940452,0.7619520747
25,1.0677618070,0.7685959680
26,1.1088295688,0.7739628067
27,1.1498973306,0.7796937829
28,1.1909650924,0.7852020041
29,1.2320328542,0.7903832723
30,1.2731006160,0.7958996284
31,1.3141683778,0.8012293025
32,1.3552361396,0.8059896225
33,1.3963039014,0.8110815603
34,1.4373716632,0.8160649433
35,1.4784394251,0.8205618893
36,1.5195071869,0.8255806193
37,1.5605749487,0.8301372166
38,1.6016427105,0.8343424658
39,1.6427104723,0.8388827413
40,1.6837782341,0.8432245514
41,1.7248459959,0.8469972569
42,1.7659137577,0.8519025610
43,1.8069815195,0.8558035450
44,1.8480492813,0.8592213115
45,1.8891170431,0.8634501666
46,1.9301848049,0.8670074596
47,1.9712525667,0.8706967213
48,2.0123203285,0.8750621786
49,2.0533880903,0.8780059115
50,2.0944558522,0.8818140512
51,2.1355236140,0.8862466436
52,2.1765913758,0.8885382971
53,2.2176591376,0.8917798988
54,2.2587268994,0.8958354032
55,2.2997946612,0.8986402791
56,2.3408624230,0.9017307670
57,2.3819301848,0.9047638590
58,2.4229979466,0.9081676866
59,2.4640657084,0.9110018586
60,2.5051334702,0.9142428509
61,2.5462012320,0.9170648407
62,2.5872689938,0.9197015299
63,2.6283367556,0.9229026895
64,2.6694045175,0.9255786265
65,2.7104722793,0.9282716593
66,2.7515400411,0.9309126975
67,2.7926078029,0.9334206524
68,2.8336755647,0.9361089980
69,2.8747433265,0.9383775497
70,2.9158110883,0.9411626369
71,2.9568788501,0.9439384171
72,2.9979466119,0.9463993202
73,3.0390143737,0.9490259487
74,3.0800821355,0.9513339762
75,3.1211498973,0.9530472595
76,3.1622176591,0.9556831029
77,3.2032854209,0.9580311687
78,3.2443531828,0.9607435825
79,3.2854209446,0.9622246302
80,3.3264887064,0.9645745639
81,3.3675564682,0.9667443607
82,3.4086242300,0.9687762267
83,3.4496919918,0.9708451730
84,3.4907597536,0.9727653877
85,3.5318275154,0.9746087772
86,3.5728952772,0.9769783805
87,3.6139630390,0.9788566539
88,3.6550308008,0.9809855352
89,3.6960985626,0.9827751126
90,3.7371663244,0.9847252807
91,3.7782340862,0.9864575344
92,3.8193018480,0.9884939723
93,3.8603696099,0.9902761279
94,3.9014373717,0.9916294088
95,3.9425051335,0.9940573770
96,3.9835728953,0.9953431340
97,4.0246406571,0.9973142506
98,4.0657084189,0.9990217905
99,4.1067761807,1.0005085136
100,4.1478439425,1.0026639344
101,4.1889117043,1.0036746083
102,4.2299794661,1.0055327869
103,4.2710472279,1.0070927545
104,4.3121149897,1.0084016393
105,4.3531827515,1.0106234954
106,4.3942505133,1.0112704918
107,4.4353182752,1.0135951672
108,4.4763860370,1.0143073401
109,4.5174537988,1.0164508719
110,4.5585215606,1.0172325261
111,4.5995893224,1.0190403005
112,4.6406570842,1.0199813711
113,4.6817248460,1.0218997186
114,4.7227926078,1.0227459016
115,4.7638603696,1.0245462400
116,4.8049281314,1.0256147541
117,4.8459958932,1.0271763317
118,4.8870636550,1.0284836066
119,4.9281314168,1.0297666422
120,4.9691991786,1.0313524590
121,5.0102669405,1.0316798973
122,5.0513347023,1.0341298635
123,5.0924024641,1.0342213115
124,5.1334702259,1.0360584805
125,5.1745379877,1.0370901639
126,5.2156057495,1.0384711167
127,5.2566735113,1.0399590164
128,5.2977412731,1.0401025958
129,5.3388090349,1.0418735605
130,5.3798767967,1.0428278689
131,5.4209445585,1.0436062501
132,5.4620123203,1.0456967213
133,5.5030800821,1.0459091775
134,5.5441478439,1.0476133076
135,5.5852156057,1.0485655738
136,5.6262833676,1.0487091531
137,5.6673511294,1.0503437079
138,5.7084188912,1.0514344262
139,5.7494866530,1.0519902664
140,5.7905544148,1.0541168999
141,5.8316221766,1.0543032787
142,5.8726899384,1.0551617403
143,5.9137577002,1.0569770934
144,5.9548254620,1.0571721311
145,5.9958932238,1.0580281126
146,6.0369609856,1.0599310607
147,6.0780287474,1.0600409836
148,6.1190965092,1.0609669325
149,6.1601642710,1.0627789379
150,6.2012320329,1.0629098361
151,6.2422997947,1.0635656947
152,6.2833675565,1.0654725264
153,6.3244353183,1.0657786885
154,6.3655030801,1.0661495121
155,6.4065708419,1.0677496908
156,6.4476386037,1.0685166428
157,6.4887063655,1.0688167015
158,6.5297741273,1.0702823860
159,6.5708418891,1.0709351129
160,6.6119096509,1.0715163934
161,6.6529774127,1.0721438622
162,6.6940451745,1.0738039653
163,6.7351129363,1.0743852459
164,6.7761806982,1.0743852459
165,6.8172484600,1.0751358720
166,6.8583162218,1.0768972830
167,6.8993839836,1.0772540984
168,6.9404517454,1.0773432435
169,6.9815195072,1.0783677457
170,7.0225872690,1.0798929408
171,7.0636550308,1.0801229508
172,7.1047227926,1.0801229508
173,7.1457905544,1.0815754581
174,7.1868583162,1.0825974444
175,7.2279260780,1.0829918033
176,7.2689938398,1.0832130194
177,7.3100616016,1.0843189827
178,7.3511293634,1.0857170764
179,7.3921971253,1.0858606557
180,7.4332648871,1.0859705787
181,7.4743326489,1.0867123928
182,7.5154004107,1.0882728337
183,7.5564681725,1.0887295082
184,7.5975359343,1.0887295082
185,7.6386036961,1.0891959167
186,7.6796714579,1.0904487429
187,7.7207392197,1.0915983607
188,7.7618069815,1.0915983607
189,7.8028747433,1.0917082836
190,7.8439425051,1.0929255401
191,7.8850102669,1.0938498651
192,7.9260780287,1.0943614615
193,7.9671457906,1.0943614615
194,8.0082135524,1.0946622508
195,8.0492813142,1.0939077869
196,8.0903490760,1.0963879837
197,8.1314168378,1.0973360656
198,8.1724845996,1.0973360656
199,8.2135523614,1.0976651147
200,8.2546201232,1.0981763152
201,8.2956878850,1.0998105592
202,8.3367556468,1.1002049180
203,8.3778234086,1.1002049180
204,8.4188911704,1.1005757416
205,8.4599589322,1.1008483563
206,8.5010266940,1.1020904217
207,8.5420944559,1.1027857558
208,8.5831622177,1.1030737705
209,8.6242299795,1.1030737705
210,8.6652977413,1.1035548550
211,8.7063655031,1.1039837149
212,8.7474332649,1.1052568598
213,8.7885010267,1.1057475852
214,8.8295687885,1.1059426230
215,8.8706365503,1.1059426230
216,8.9117043121,1.1065086074
217,8.9527720739,1.1075249282
218,8.9938398357,1.1082606916
219,9.0349075975,1.1088114754
220,9.0759753593,1.1088114754
221,9.1170431211,1.1088114754
222,9.1581108830,1.1088923641
223,9.1991786448,1.1103104428
224,9.2402464066,1.1111295440
225,9.2813141684,1.1116803279
226,9.3223819302,1.1116803279
227,9.3634496920,1.1116803279
228,9.4045174538,1.1120605372
229,9.4455852156,1.1123237661
230,9.4866529774,1.1129769941
231,9.5277207392,1.1138419820
232,9.5687885010,1.1145491803
233,9.6098562628,1.1145491803
234,9.6509240246,1.1145491803
235,9.6919917864,1.1151407118
236,9.7330595483,1.1154519048
237,9.7741273101,1.1165025656
238,9.8151950719,1.1169369483
239,9.8562628337,1.1174180328
240,9.8973305955,1.1174180328
241,9.9383983573,1.1174989215
242,9.9794661191,1.1180562309
243,10.0205338809,1.1181686589
244,10.0616016427,1.1195252843
245,10.1026694045,1.1196902122
246,10.1437371663,1.1202868852
247,10.1848049281,1.1202868852
248,10.2258726899,1.1202868852
249,10.2669404517,1.1205168953
250,10.3080082136,1.1209303235
251,10.3490759754,1.1212944896
252,10.3901437372,1.1225017857
253,10.4312114990,1.1228946777
254,10.4722792608,1.1231557377
255,10.5133470226,1.1231557377
256,10.5544147844,1.1231557377
257,10.5954825462,1.1231557377
258,10.6365503080,1.1235265613
259,10.6776180698,1.1242640067
260,10.7186858316,1.1249783802
261,10.7597535934,1.1253811519
262,10.8008213552,1.1259146672
263,10.8418891170,1.1260245902
264,10.8829568789,1.1260245902
265,10.9240246407,1.1261054789
266,10.9650924025,1.1266680284
267,11.0061601643,1.1266680284
268,11.0472279261,1.1273212564
269,11.0882956879,1.1280706179
270,11.1293634497,1.1283019111
271,11.1704312115,1.1288934426
272,11.2114989733,1.1288934426
273,11.2525667351,1.1288934426
274,11.2936344969,1.1288934426
275,11.3347022587,1.1294492828
276,11.3757700205,1.1295368809
277,11.4168377823,1.1305139241
278,11.4579055441,1.1311188568
279,11.4989733060,1.1311188568
280,11.5400410678,1.1316565434
281,11.5811088296,1.1317622951
282,11.6221765914,1.1317622951
283,11.6632443532,1.1317622951
284,11.7043121150,1.1319443569
285,11.7453798768,1.1324057334
286,11.7864476386,1.1324057334
287,11.8275154004,1.1331425920
288,11.8685831622,1.1339877093
289,11.9096509240,1.1339877093
290,11.9507186858,1.1344361098
291,11.9917864476,1.1346311475
292,12.0328542094,1.1346311475
293,12.0739219713,1.1346311475
294,12.1149897331,1.1346311475
295,12.1560574949,1.1352278206
296,12.1971252567,1.1352745858
297,12.2381930185,1.1356958252
298,12.2792607803,1.1366431525
299,12.3203285421,1.1368565617
300,12.3613963039,1.1368565617
301,12.4024640657,1.1371938379
302,12.4435318275,1.1375000000
303,12.4845995893,1.1375000000
304,12.5256673511,1.1375000000
305,12.5667351129,1.1375000000
306,12.6078028747,1.1380407027
307,12.6488706366,1.1381434383
308,12.6899383984,1.1384204101
309,12.7310061602,1.1389344262
310,12.7720739220,1.1395684615
311,12.8131416838,1.1397254142
312,12.8542094456,1.1401388424
313,12.8952772074,1.1403688525
314,12.9363449692,1.1403688525
315,12.9774127310,1.1403688525
316,13.0184804928,1.1403688525
317,13.0595482546,1.1403688525
318,13.1006160164,1.1404497412
319,13.1416837782,1.1410070506
