point_index,x,y
0,0.0410677618,0.1158191016
1,0.0821355236,0.1160663791
2,0.1232032854,0.1170088664
3,0.1642710472,0.1181041191
4,0.2053388090,0.1210800464
5,0.2464065708,0.1231951031
6,0.2874743326,0.1252707530
7,0.3285420945,0.1277034140
8,0.3696098563,0.1277034140
9,0.4106776181,0.1315541347
10,0.4517453799,0.1334606962
11,0.4928131417,0.1355378348
12,0.5338809035,0.1368762461
13,0.5749486653,0.1388473814
14,0.6160164271,0.1403136227
15,0.6570841889,0.1420081967
16,0.6981519507,0.1435643780
17,0.7392197125,0.1448770492
18,0.7802874743,0.1466010148
19,0.8213552361,0.1477459016
20,0.8624229979,0.1494755459
21,0.9034907598,0.1506147541
22,0.9445585216,0.1515463372
23,0.9856262834,0.1534836066
24,1.0266940452,0.1543090308
25,1.0677618070,0.1563524590
26,1.1088295688,0.1563524590
27,1.1498973306,0.1585404787
28,1.1909650924,0.1592213115
29,1.2320328542,0.1599683781
30,1.2731006160,0.1619338307
31,1.3141683778,0.1620901639
32,1.3552361396,0.1635750192
33,1.3963039014,0.1648532647
34,1.4373716632,0.1651153497
35,1.4784394251,0.1663934426
36,1.5195071869,0.1678278689
37,1.5605749487,0.1678278689
38,1.6016427105,0.1688801674
39,1.6427104723,0.1703165119
40,1.6837782341,0.1707776100
41,1.7248459959,0.1713919712
42,1.7659137577,0.1733443577
43,1.8069815195,0.1735655738
44,1.8480492813,0.1738266337
45,1.8891170431,0.1748362389
46,1.9301848049,0.1762908469
47,1.9712525667,0.1764344262
48,2.0123203285,0.1767360381
49,2.0533880903,0.1785676027
50,2.0944558522,0.1805781131
51,2.1355236140,0.1793032787
52,2.1765913758,0.1795912934
53,2.2176591376,0.1811776947
54,2.2587268994,0.1819857524
55,2.2997946612,0.1821721311
56,2.3408624230,0.1822530198
57,2.3819301848,0.1830029160
58,2.4229979466,0.1844184396
59,2.4640657084,0.1850409836
60,2.5051334702,0.1850409836
61,2.5462012320,0.1852709936
62,2.5872689938,0.1864210526
63,2.6283367556,0.1874090426
64,2.6694045175,0.1879098361
65,2.7104722793,0.1879098361
66,2.7515400411,0.1883327520
67,2.7926078029,0.1891430532
68,2.8336755647,0.1901352502
69,2.8747433265,0.1901871570
70,2.9158110883,0.1907786885
71,2.9568788501,0.1908595772
72,2.9979466119,0.1914012325
73,3.0390143737,0.1922518394
74,3.0800821355,0.1932005609
75,3.1211498973,0.1936475410
76,3.1622176591,0.1936475410
77,3.2032854209,0.1936475410
78,3.2443531828,0.1941483345
79,3.2854209446,0.1950611784
80,3.3264887064,0.1958624414
81,3.3675564682,0.1963728141
82,3.4086242300,0.1965163934
83,3.4496919918,0.1965163934
84,3.4907597536,0.1967114311
