point_index,x,y
0,0.0410677618,0.3430889288
1,0.0821355236,0.3462620001
2,0.1232032854,0.3495704653
3,0.1642710472,0.3556647680
4,0.2053388090,0.3623868142
5,0.2464065708,0.3683334460
6,0.2874743326,0.3741353781
7,0.3285420945,0.3811925958
8,0.3696098563,0.3811925958
9,0.4106776181,0.3919432799
10,0.4517453799,0.3978624047
11,0.4928131417,0.4030688605
12,0.5338809035,0.4076082170
13,0.5749486653,0.4134125486
14,0.6160164271,0.4177731470
15,0.6570841889,0.4226751348
16,0.6981519507,0.4274969516
17,0.7392197125,0.4317183520
18,0.7802874743,0.4359387916
19,0.8213552361,0.4405392378
20,0.8624229979,0.4444584580
21,0.9034907598,0.4482782403
22,0.9445585216,0.4524211511
23,0.9856262834,0.4560441589
24,1.0266940452,0.4597563965
25,1.0677618070,0.4634180430
26,1.1088295688,0.4666137128
27,1.1498973306,0.4704973416
28,1.1909650924,0.4740528113
29,1.2320328542,0.4769882289
30,1.2731006160,0.4802584431
31,1.3141683778,0.4831306276
32,1.3552361396,0.4859160127
33,1.3963039014,0.4894971948
34,1.4373716632,0.4926271615
35,1.4784394251,0.4951278946
36,1.5195071869,0.4983589043
37,1.5605749487,0.5008311970
38,1.6016427105,0.5031201367
39,1.6427104723,0.5065037258
40,1.6837782341,0.5084537765
41,1.7248459959,0.5109966803
42,1.7659137577,0.5137171600
43,1.8069815195,0.5162811926
44,1.8480492813,0.5190195460
45,1.8891170431,0.5218279899
46,1.9301848049,0.5232171788
47,1.9712525667,0.5253552341
48,2.0123203285,0.5277032998
49,2.0533880903,0.5298662524
50,2.0944558522,0.5323154229
51,2.1355236140,0.5342258354
52,2.1765913758,0.5360768952
53,2.2176591376,0.5386778567
54,2.2587268994,0.5403906675
55,2.2997946612,0.5422449909
56,2.3408624230,0.5438966177
57,2.3819301848,0.5463483976
58,2.4229979466,0.5477717893
59,2.4640657084,0.5498319530
60,2.5051334702,0.5520173732
61,2.5462012320,0.5528276156
62,2.5872689938,0.5551229508
63,2.6283367556,0.5567638031
64,2.6694045175,0.5580703303
65,2.7104722793,0.5602331761
66,2.7515400411,0.5615808448
67,2.7926078029,0.5633771930
68,2.8336755647,0.5647593843
69,2.8747433265,0.5665983607
70,2.9158110883,0.5680375604
71,2.9568788501,0.5694672131
72,2.9979466119,0.5707912989
73,3.0390143737,0.5723360656
74,3.0800821355,0.5740016987
75,3.1211498973,0.5752049180
76,3.1622176591,0.5764928942
77,3.2032854209,0.5780737705
78,3.2443531828,0.5788153060
79,3.2854209446,0.5809426230
80,3.3264887064,0.5817573151
81,3.3675564682,0.5838114754
82,3.4086242300,0.5840817296
83,3.4496919918,0.5860255365
84,3.4907597536,0.5866803279
85,3.5318275154,0.5885819044
86,3.5728952772,0.5895491803
87,3.6139630390,0.5901872891
88,3.6550308008,0.5921322062
89,3.6960985626,0.5924180328
90,3.7371663244,0.5941379170
91,3.7782340862,0.5952868852
92,3.8193018480,0.5961094327
93,3.8603696099,0.5978214167
94,3.9014373717,0.5982366264
95,3.9425051335,0.5995790336
96,3.9835728953,0.6010245902
97,4.0246406571,0.6011681695
98,4.0657084189,0.6026453411
99,4.1067761807,0.6038934426
100,4.1478439425,0.6041058988
101,4.1889117043,0.6059793374
102,4.2299794661,0.6065931346
103,4.2710472279,0.6067622951
104,4.3121149897,0.6081793694
105,4.3531827515,0.6095086633
106,4.3942505133,0.6096311475
107,4.4353182752,0.6105308979
108,4.4763860370,0.6124605204
109,4.5174537988,0.6125000000
110,4.5585215606,0.6135690400
111,4.5995893224,0.6150305848
112,4.6406570842,0.6153688525
113,4.6817248460,0.6157490618
114,4.7227926078,0.6166285263
115,4.7638603696,0.6182377049
116,4.8049281314,0.6182377049
117,4.8459958932,0.6195206790
118,4.8870636550,0.6205150259
119,4.9281314168,0.6211065574
120,4.9691991786,0.6213498226
121,5.0102669405,0.6225232381
122,5.0513347023,0.6235187354
123,5.0924024641,0.6239754098
124,5.1334702259,0.6239754098
125,5.1745379877,0.6253801992
126,5.2156057495,0.6263631778
127,5.2566735113,0.6268442623
128,5.2977412731,0.6271504244
129,5.3388090349,0.6278000479
130,5.3798767967,0.6293187559
131,5.4209445585,0.6297131148
132,5.4620123203,0.6298188664
133,5.5030800821,0.6303565530
134,5.5441478439,0.6316237235
135,5.5852156057,0.6325819672
136,5.6262833676,0.6325819672
137,5.6673511294,0.6325819672
138,5.7084188912,0.6334047919
139,5.7494866530,0.6346448387
140,5.7905544148,0.6350940044
141,5.8316221766,0.6354508197
142,5.8726899384,0.6357569818
143,5.9137577002,0.6374794419
144,5.9548254620,0.6378089631
145,5.9958932238,0.6383196721
146,6.0369609856,0.6383196721
147,6.0780287474,0.6389631104
148,6.1190965092,0.6394468406
149,6.1601642710,0.6403087432
150,6.2012320329,0.6411076359
151,6.2422997947,0.6411885246
152,6.2833675565,0.6416992336
153,6.3244353183,0.6423494436
154,6.3655030801,0.6435015369
155,6.4065708419,0.6440573770
156,6.4476386037,0.6440573770
157,6.4887063655,0.6442785931
158,6.5297741273,0.6447008153
159,6.5708418891,0.6458961382
160,6.6119096509,0.6462827912
161,6.6529774127,0.6467826501
162,6.6940451745,0.6469262295
163,6.7351129363,0.6469262295
164,6.7761806982,0.6473064389
165,6.8172484600,0.6480802906
166,6.8583162218,0.6494889198
167,6.8993839836,0.6497950820
168,6.9404517454,0.6497950820
169,6.9815195072,0.6497950820
170,7.0225872690,0.6502958755
171,7.0636550308,0.6510450820
172,7.1047227926,0.6514533194
173,7.1457905544,0.6523486447
174,7.1868583162,0.6526639344
175,7.2279260780,0.6526639344
176,7.2689938398,0.6528851505
177,7.3100616016,0.6533073727
178,7.3511293634,0.6534934460
179,7.3921971253,0.6548893486
180,7.4332648871,0.6549668024
181,7.4743326489,0.6555327869
182,7.5154004107,0.6555327869
183,7.5564681725,0.6555327869
184,7.5975359343,0.6561294600
185,7.6386036961,0.6564900777
186,7.6796714579,0.6578457992
187,7.7207392197,0.6577476873
188,7.7618069815,0.6580072805
189,7.8028747433,0.6584016393
190,7.8439425051,0.6584016393
191,7.8850102669,0.6589123484
192,7.9260780287,0.6590450776
193,7.9671457906,0.6591127744
194,8.0082135524,0.6605282332
195,8.0492813142,0.6588357754
196,8.0903490760,0.6610841130
197,8.1314168378,0.6612704918
198,8.1724845996,0.6612704918
199,8.2135523614,0.6612704918
200,8.2546201232,0.6618878398
201,8.2956878850,0.6619244438
202,8.3367556468,0.6628605397
203,8.3778234086,0.6634959060
204,8.4188911704,0.6635168002
205,8.4599589322,0.6641393443
206,8.5010266940,0.6641393443
207,8.5420944559,0.6641393443
208,8.5831622177,0.6641393443
209,8.6242299795,0.6646401378
