point_index,x,y
0,0.0410677618,0.2291466101
1,0.0821355236,0.2303408044
2,0.1232032854,0.2322527834
3,0.1642710472,0.2362168979
4,0.2053388090,0.2412213825
5,0.2464065708,0.2455658015
6,0.2874743326,0.2498481659
7,0.3285420945,0.2544615407
8,0.3696098563,0.2544615407
9,0.4106776181,0.2618406985
10,0.4517453799,0.2655404778
11,0.4928131417,0.2689805810
12,0.5338809035,0.2719597768
13,0.5749486653,0.2761896248
14,0.6160164271,0.2794898955
15,0.6570841889,0.2820066095
16,0.6981519507,0.2859509814
17,0.7392197125,0.2887343350
18,0.7802874743,0.2915119636
19,0.8213552361,0.2943586454
20,0.8624229979,0.2969410992
21,0.9034907598,0.2996098240
22,0.9445585216,0.3023613353
23,0.9856262834,0.3043045320
24,1.0266940452,0.3071916172
25,1.0677618070,0.3099527207
26,1.1088295688,0.3124987467
27,1.1498973306,0.3146516393
28,1.1909650924,0.3165926828
29,1.2320328542,0.3186761854
30,1.2731006160,0.3209562413
31,1.3141683778,0.3231575196
32,1.3552361396,0.3250256798
33,1.3963039014,0.3273901229
34,1.4373716632,0.3293960033
35,1.4784394251,0.3309291041
36,1.5195071869,0.3329582331
37,1.5605749487,0.3349468504
38,1.6016427105,0.3365010897
39,1.6427104723,0.3385102936
40,1.6837782341,0.3400375434
41,1.7248459959,0.3419346410
42,1.7659137577,0.3433346734
43,1.8069815195,0.3453087003
44,1.8480492813,0.3466497638
45,1.8891170431,0.3485655738
46,1.9301848049,0.3495816752
47,1.9712525667,0.3514344262
48,2.0123203285,0.3527564403
49,2.0533880903,0.3526606903
50,2.0944558522,0.3559911562
51,2.1355236140,0.3571721311
52,2.1765913758,0.3586348452
53,2.2176591376,0.3600409836
54,2.2587268994,0.3607789564
55,2.2997946612,0.3629098361
56,2.3408624230,0.3632498181
57,2.3819301848,0.3654651163
58,2.4229979466,0.3657786885
59,2.4640657084,0.3679263061
60,2.5051334702,0.3686475410
61,2.5462012320,0.3695934209
62,2.5872689938,0.3715163934
63,2.6283367556,0.3716263164
64,2.6694045175,0.3736532753
65,2.7104722793,0.3743852459
66,2.7515400411,0.3748346815
67,2.7926078029,0.3769524865
68,2.8336755647,0.3772540984
69,2.8747433265,0.3780652240
70,2.9158110883,0.3799666176
71,2.9568788501,0.3801229508
72,2.9979466119,0.3809609650
73,3.0390143737,0.3829918033
74,3.0800821355,0.3830726920
75,3.1211498973,0.3849135573
76,3.1622176591,0.3858606557
77,3.2032854209,0.3860818718
78,3.2443531828,0.3870819343
79,3.2854209446,0.3884729100
80,3.3264887064,0.3887295082
81,3.3675564682,0.3892204269
82,3.4086242300,0.3910664948
83,3.4496919918,0.3915983607
84,3.4907597536,0.3915983607
85,3.5318275154,0.3931806659
86,3.5728952772,0.3943614615
87,3.6139630390,0.3944672131
88,3.6550308008,0.3949141932
89,3.6960985626,0.3963712937
90,3.7371663244,0.3973360656
91,3.7782340862,0.3973360656
92,3.8193018480,0.3980757643
93,3.8603696099,0.3993308892
94,3.9014373717,0.4002049180
95,3.9425051335,0.4002049180
96,3.9835728953,0.4009001679
97,4.0246406571,0.4023626355
98,4.0657084189,0.4030737705
99,4.1067761807,0.4030737705
100,4.1478439425,0.4036245543
101,4.1889117043,0.4050404973
102,4.2299794661,0.4053766385
103,4.2710472279,0.4059426230
104,4.3121149897,0.4062306377
105,4.3531827515,0.4067642262
106,4.3942505133,0.4081680371
107,4.4353182752,0.4086678960
108,4.4763860370,0.4088114754
109,4.5174537988,0.4092058343
110,4.5585215606,0.4094972385
111,4.5995893224,0.4109998949
112,4.6406570842,0.4116803279
113,4.6817248460,0.4116803279
114,4.7227926078,0.4118494884
115,4.7638603696,0.4123237661
116,4.8049281314,0.4134396455
117,4.8459958932,0.4145491803
118,4.8870636550,0.4145491803
119,4.9281314168,0.4145491803
120,4.9691991786,0.4151873784
121,5.0102669405,0.4164792223
122,5.0513347023,0.4169758851
123,5.0924024641,0.4174180328
124,5.1334702259,0.4174180328
125,5.1745379877,0.4174180328
126,5.2156057495,0.4179738730
127,5.2566735113,0.4187688378
128,5.2977412731,0.4196486871
129,5.3388090349,0.4201977401
130,5.3798767967,0.4202868852
131,5.4209445585,0.4202868852
132,5.4620123203,0.4207532938
133,5.5030800821,0.4213848597
134,5.5441478439,0.4225122994
135,5.5852156057,0.4228767432
136,5.6262833676,0.4231557377
137,5.6673511294,0.4231557377
138,5.7084188912,0.4234123359
139,5.7494866530,0.4237991760
140,5.7905544148,0.4241396571
141,5.8316221766,0.4253706381
142,5.8726899384,0.4254072422
143,5.9137577002,0.4259354450
144,5.9548254620,0.4260245902
145,5.9958932238,0.4260245902
146,6.0369609856,0.4260245902
147,6.0780287474,0.4267588429
148,6.1190965092,0.4276434426
149,6.1601642710,0.4282552445
150,6.2012320329,0.4288934426
151,6.2422997947,0.4288934426
152,6.2833675565,0.4288934426
153,6.3244353183,0.4288934426
154,6.3655030801,0.4293942361
155,6.4065708419,0.4298551234
156,6.4476386037,0.4307707337
157,6.4887063655,0.4311188568
158,6.5297741273,0.4315410790
159,6.5708418891,0.4317622951
160,6.6119096509,0.4317622951
161,6.6529774127,0.4317622951
162,6.6940451745,0.4320639069
163,6.7351129363,0.4324057334
164,6.7761806982,0.4325129212
165,6.8172484600,0.4334205325
166,6.8583162218,0.4339877093
167,6.8993839836,0.4339877093
168,6.9404517454,0.4345212246
169,6.9815195072,0.4346311475
170,7.0225872690,0.4346311475
171,7.0636550308,0.4346311475
172,7.1047227926,0.4350540635
173,7.1457905544,0.4352745858
174,7.1868583162,0.4352745858
175,7.2279260780,0.4366568409
176,7.2689938398,0.4368565617
177,7.3100616016,0.4368774560
178,7.3511293634,0.4373900771
179,7.3921971253,0.4375000000
180,7.4332648871,0.4375000000
181,7.4743326489,0.4375000000
182,7.5154004107,0.4378708236
183,7.5564681725,0.4381434383
184,7.5975359343,0.4381434383
185,7.6386036961,0.4384572908
186,7.6796714579,0.4397254142
187,7.7207392197,0.4397254142
188,7.7618069815,0.4397254142
189,7.8028747433,0.4398431932
190,7.8439425051,0.4403688525
191,7.8850102669,0.4403688525
192,7.9260780287,0.4403688525
193,7.9671457906,0.4403688525
194,8.0082135524,0.4409348369
195,8.0492813142,0.4415915712
196,8.0903490760,0.4422056423
197,8.1314168378,0.4418032787
198,8.1724845996,0.4422641125
199,8.2135523614,0.4425942666
200,8.2546201232,0.4425942666
201,8.2956878850,0.4425942666
202,8.3367556468,0.4432377049
203,8.3778234086,0.4432377049
204,8.4188911704,0.4432377049
205,8.4599589322,0.4432377049
206,8.5010266940,0.4432377049
207,8.5420944559,0.4432377049
208,8.5831622177,0.4437384984
209,8.6242299795,0.4438811432
210,8.6652977413,0.4444094897
211,8.7063655031,0.4446721311
212,8.7474332649,0.4450418797
213,8.7885010267,0.4454631191
214,8.8295687885,0.4455252768
215,8.8706365503,0.4461065574
216,8.9117043121,0.4461065574
217,8.9527720739,0.4461065574
218,8.9938398357,0.4461065574
219,9.0349075975,0.4461065574
220,9.0759753593,0.4461065574
221,9.1170431211,0.4461065574
222,9.1581108830,0.4462164803
223,9.1991786448,0.4467499957
224,9.2402464066,0.4468320316
225,9.2813141684,0.4469293821
226,9.3223819302,0.4475409836
227,9.3634496920,0.4476720129
228,9.4045174538,0.4482949769
229,9.4455852156,0.4483319716
230,9.4866529774,0.4484746163
231,9.5277207392,0.4489754098
232,9.5687885010,0.4489754098
233,9.6098562628,0.4489754098
234,9.6509240246,0.4489754098
235,9.6919917864,0.4489754098
236,9.7330595483,0.4489754098
237,9.7741273101,0.4493322252
238,9.8151950719,0.4496188481
239,9.8562628337,0.4496188481
240,9.8973305955,0.4496188481
241,9.9383983573,0.4496188481
242,9.9794661191,0.4496188481
243,10.0205338809,0.4502254098
244,10.0616016427,0.4504098361
245,10.1026694045,0.4505069677
246,10.1437371663,0.4511638293
247,10.1848049281,0.4512008240
248,10.2258726899,0.4512008240
249,10.2669404517,0.4515426505
250,10.3080082136,0.4518442623
251,10.3490759754,0.4518442623
252,10.3901437372,0.4518442623
253,10.4312114990,0.4518442623
